abandonment	abandon
horsewhipping	horsewhip
hose	hose
hospitalization	hospitalize
hospitalisation	hospitalise
host	host
hound	hound
housings	house
housebreaking	housebreak
housekeeping	housekeep
hover	hover
howling	howl
huckster	huckster
huddle	huddle
hue	hue
huff	huff
hugging	hug
hulk	hulk
hull	hull
humorousness	hum	humor
humanitarianism	humanise	humanize
humbleness	humble
humbuggery	humbug
humidification	humidify
humiliation	humiliate
humourist	humour
hump	hump
hunch	hunch
hungriness	hunger
hunting	hunt
hurdling	hurdle
hurling	hurl
hurrying	hurry
hurting	hurt
hurtle	hurtle
husbandman	husband
hush	hush
husking	husk
hustler	hustle
hybridization	hybridise	hybridize
hydration	hydrate
hydrogenization	hydrogenate	hydrogenise	hydrogenize
hydrolyzation	hydrolyse	hydrolyze
hydroplane	hydroplane
hygienics	hygienize
hymnal	hymn
hype	hype
hyperbolization	hyperbolise	hyperbolize
hypersensitization	hypersensitise	hypersensitize
hypertrophy	hypertrophy
hyperventilation	hyperventilate
hyphenization	hyphen	hyphenate	hyphenize
hypnotization	hypnotize
hypnotisation	hypnotise
hyposensitization	hyposensitise	hyposensitize
hypostatization	hypostatise	hypostatize
hypostasization	hypostasize
hypothecation	hypothecate
hypothesis	hypothesize
hysterectomy	hysterectomise	hysterectomize
iciness	ice
ideation	ideate
idealization	idealise	idealize
identification	identify
idleness	idle
idolization	idolise	idolize	idolatrise	idolatrize
ignition	ignite
ignorantness	ignore
ill-treatment	ill-treat
ill-use	ill-use
illegalization	illegalise	illegalize
illusion	illude
illumination	illume	illumine	illuminate
illustration	illustrate
imaginativeness	image	imagine
imbibition	imbibe
imbrication	imbricate
imbruembruement	imbrue	imbruembrue
imbuement	imbue
imitation	imitate
immaterialization	immaterialize
immediateness	immediate
immergence	immerge
immersion	immerse
immigration	immigrate
immixture	immix	immingle
immobilization	immobilise	immobilize
immolation	immolate
immortalization	immortalise	immortalize
immunization	immunise	immunize
immurement	immure
impaction	impact
impairment	impair
impalempalement	impale	impalempale
impanelment	impanel
impartation	impart
impassiveness	impassion
impastation	impaste
impeachability	impeach
impediment	impede
impulsiveness	impel	impulse
impendency	impend
imperilment	imperil
impersonalization	impersonate	impersonalise	impersonalize
impetration	impetrate
impingement	impinge
implantation	implant
implementation	implement
implosion	implode
imploration	implore
implication	imply	implicate
importation	import
importunity	importune
imposition	impose
imposture	imposture
impoundment	impound
impovempoverishment	impoverish	impovempoverish
imprecation	imprecate
impregnability	impregnate
impressiveness	impress
imprinting	imprint
imprisonment	imprison
impropriation	impropriate
improvement	improve
improvisation	improvise
impugnation	impugn
imputation	impute
inactivation	inactivate
inauguration	inaugurate
inboard	inboard
inbreeding	inbreed
incandescence	incandesce
incantation	incant
incapacitation	incapacitate
incarceration	incarcerate
incardination	incardinate
incarnation	incarnate
incensement	incense
inception	incept
inch	inch
incineration	incinerate
incisiveness	incise
incitement	incite
inclination	incline
inclosure	inclose
inclusion	include
incoming	income
inconvenience	inconvenience
incorporeality	incorporate
incrassation	incrassate
increase	increase
increment	increment
incrimination	incriminate
incubation	incubate
inculcation	inculcate
inculpableness	inculpate
incurableness	incur
incurvature	incurvate
indeed	indeed
indemnification	indemnify
indentation	indent	indenture
indexation	index
indicative	indicate
indictability	indict
indisposition	indispose
inditement	indite
individualization	individuate	individualise	individualize
indoctrination	indoctrinate
indorsement	indorse
inductance	induce	induct
indus	indue
indulgence	indulge
induration	indurate
industrialization	industrialise	industrialize
inebriation	inebriate
infantilism	infancy
infarction	infarct
infatuation	infatuate
infection	infect
inference	infer
infestation	infest
infielder	infield
infight	infight
infiltration	infiltrate
infirmity	infirm
infixation	infix
inflammation	inflame
inflation	inflate
inflection	inflect
infliction	inflict
inflow	inflow
influence	influence
infoldment	infold
information	inform
infraction	infract
infringement	infringe
infuriation	infuriate
infusion	infuse
ingathering	ingather
ingemination	ingeminate
ingeneration	ingenerate
ingestion	ingest
ingraining	ingrain
ingrate	ingrate
ingratiation	ingratiate
ingulfment	ingulf
ingurgitation	ingurgitate
inhabitation	inhabit
inhalation	inhale
inherence	inhere
inheritance	inherit
inhibition	inhibit
inholding	inhold
inhumation	inhume
initialization	initial	initiate	initialise	initialize
injection	inject
injuriousness	injure
ink	ink
inland	inland
inlay	inlay
inlet	inlet
inmate	inmate
innervation	innerve	innervate
innovativeness	innovate
inoculation	inoculate
inosculation	inosculate
input	input
inquest	inquest
inquisitiveness	inquire
insalivation	insalivate
inscription	inscribe
insemination	inseminate
insertion	insert
inset	inset
inshore	inshore
insider	inside
insightfulness	insight
insinuation	insinuate
insistency	insist
insnarement	insnare
insolation	insolate
inspectorate	inspect
inspiration	inspire
inspiritment	inspirit
inspissation	inspissate
installation	instal	install
instantiation	instance	instantiate
instatement	instate
instauration	instaurate
instep	instep
instigation	instigate
instillation	instil	instill
institution	institute
institutionalization	institutionalise	institutionalize
instructions	instruct
instrumentation	instrument	instrumentate
insufflation	insufflate
insulation	insulate
insult	insult
insurance	insure
intake	intake
integrating	integrate
intellectualization	intellectualise	intellectualize
intentness	intend	intent
inteneration	intenerate
intensiveness	intense
intensificatiion	intensify
interment	inter
interaction	interact
intercalation	intercalate
intercession	intercede
interception	intercept
interchangeableness	interchange
intercommunication	intercommunicate
interconnection	interconnect
interdependency	interdepend
interdiction	interdict
interest	interest
interference	interfere
interfusion	interfuse
intergradation	intergrade
interiorization	interiorize
interiorisation	interiorise
interjection	interject
interlacement	interlace
interlamination	interlaminate
interlineation	interline	interlineate
interlocking	interlock
interloper	interlope
interlude	interlude
intermarriage	intermarry
intermediation	intermediate
intermission	intermit
intermixture	intermix
internment	intern
internalization	internalise	internalize
internationalization	international	internationalise	internationalize
interosculation	interosculate
interpellation	interpellate
interpenetration	interpenetrate
interpolation	interpolate
interposition	interpose
interpretation	interpret
interrelationship	interrelate
interrogative	interrogate
interruption	interrupt
intersection	intersect
interspersion	intersperse
interstice	interstice
interstratification	interstratify
intertwinement	intertwine
intervention	intervene
interviewer	interview
interweavement	interweave
intimation	intimate
intimidation	intimidate
intonation	intone	intonate
intoxication	intoxicate
intrenchment	intrench
intrigue	intrigue
introduction	introduce
introjection	introject
intromission	intromit
introspectiveness	introspect
introversion	introvert
intrusiveness	intrude
intubation	intubate
intuition	intuit
intumescency	intumesce
intussusception	intussuscept
intwinement	intwine
inundation	inundate
inurement	inure
inurenurement	inurenure
inurnment	inurn
invasion	invade
invagination	invaginate
invalidation	invalid	invalidate
inveiglement	inveigle
inventiveness	invent
inventorying	inventory
inversion	invert	inverse
investment	invest
investigation	investigate
invigilation	invigilate
invigoration	invigorate
invitation	invite
invoice	invoice
invocation	invoke	invocate
involution	involute
involvement	involve
inwardness	inward
iodation	iodate
iodination	iodinate
iodization	iodise	iodize
ionisation	ionise
ionization	ionize
iridescence	iridesce
ironist	iron
irradiation	irradiate
irrigation	irrigate
irritability	irritate
irruption	irrupt
islamization	islamise	islamize
isolation	isolate
isomerization	isomerise	isomerize
issuance	issue
italianization	italianise	italianize
italicization	italicise	italicize
itchiness	itch
itemization	itemise	itemize
iteration	iterate
itineration	itinerate
jabbing	jab
jabbering	jabber
jacks	jack
jacket	jacket
jackknife	jackknife
jactitation	jactitate
jade	jade
jag	jag
jailing	jail
jamming	jam
jangle	jangle
japan	japan
japery	jape
jarful	jar
jargonization	jargon	jargonise	jargonize
jaundice	jaundice
jaunt	jaunt
jaws	jaw
jawbone	jawbone
jaywalking	jaywalk
jazz	jazz
jeep	jeep
jeering	jeer
jellification	jell	jelly	jellify
jemmy	jemmy
jeopardy	jeopardize
jerkiness	jerk
jester	jest
jets	jet
jettison	jettison
jeweller	jewel
jib	jib
jibe	jibe
jig	jig
jiggle	jiggle
jilt	jilt
jimmies	jimmy
jingle	jingle
jinx	jinx
jitterbug	jitterbug
jive	jive
job	job
jockey	jockey
jogging	jog
joggle	joggle
junction	join
jointer	joint
joker	joke
jollity	jolly
jolt	jolt
justlement	jostle	justle
jotting	jot
jounce	jounce
journalization	journalize	journalise
journeyman	journey
joust	joust
joy	joy
joyride	joyride
jubilation	jubilate
judaization	judaise	judaize
judder	judder
judgeship	judge
jugful	jug
juggling	juggle
jugulation	jugulate
juiciness	juice
jumble	jumble
jump-start	jump-start
jumping	jump
jumpstart	jumpstart
junker	junk
junketing	junket
justification	justify
jutting	jut
juxtaposition	juxtapose
kayak	kayak
kayo	kayo
keel	keel
keenness	keen
keeping	keep
kenning	ken
kennels	kennel
keratinization	keratinise	keratinize
key	key
keyboard	keyboard
keynote	keynote
kibitzer	kibitz
kick-out	kick-out
kicking	kick
kiddie	kid
kidnapping	kidnap
killing	kill
kindling	kindle
kink	kink
kip	kip
kipper	kipper
kissing	kiss
kit	kit
kitten	kitten
kludge	kludge
knackery	knacker
knee	knee
kneecap	kneecap
kneeling	kneel
knell	knell
knife	knife
knight	knight
knitting	knit
knocking	knock
knockout	knockout
knot	knot
knowledge	know
knuckles	knuckle
kotow	kotow
kowtow	kowtow
kyanization	kyanise	kyanize
label	label
labialization	labialise	labialize
laboriousness	labor
labourite	labour
lacing	lace
laceration	lacerate
lack	lack
lacquer	lacquer
lactation	lactate
ladder	ladder
lading	lade	laden
ladleful	ladle
lagging	lag
laicization	laicise	laicize
lam	lam
lamb	lamb
lameness	lame
lamentation	lament
lamination	laminate
lampooner	lampoon
lancers	lance
lancination	lancinate
landman	land
landscapist	landscape
languishment	languish
lapping	lap
lapidation	lapidate
lapidification	lapidify
lapsing	lapse
larder	lard
lark	lark
lashings	lash
lasso	lasso
last	last
latch	latch
lathing	lathe
lather	lather
latinization	latinize
latinisation	latinise
laudation	laud
laughter	laugh
launching	launch
laundering	launder
laureation	laureate
lavation	lave
lavishness	lavish
layman	lay	layer
laze	laze
leaching	leach
leading	lead
leafing	leaf
league	league
leakage	leak
leanness	lean
leaping	leap
leapfrog	leapfrog
learning	learn
lessor	lease
leash	leash
leather	leather
leaving	leave
leavening	leaven
lecherousness	lech
lectureship	lecture
leech	leech
leer	leer
legerity	leg	legate
legalization	legalise	legalize
legislating	legislate
legitimization	legitimate	legitimize
legitimatization	legitimatise	legitimatize
lending	lend
lessening	lessen
letting	let
letterman	letter
levanter	levant
leveller	level
leveraging	lever	leverage
levis	levy
levigation	levigate
levitation	levitate
lying	lie
liaison	liaise
libeler	libel
liberalization	liberate	liberalise	liberalize
libration	librate
licence	licence
licensee	license
licking	lick
liftman	lift
ligature	ligate
enlightenment	light	lighter	enlighten
lightening	lighten
lightning	lightning
lignification	lignify
likelihood	like
likening	liken
lilt	lilt
lime	lime
limitation	limit
limning	limn
limpness	limp
lineation	line
linearity	linearize
lingering	linger
linkman	link
lint	lint
lionization	lionise	lionize
lip-reading	lip-read
lipreading	lipread
lipstick	lipstick
liquation	liquate
liquescence	liquesce
liquidization	liquefy	liquify	liquidate	liquidize
lisper	lisp
listing	list
listening	listen
literalness	literalize
lithographer	lithograph
litigation	litigate
litterer	litter
enlivenment	live	enliven
lixiviation	lixiviate
loading	load
loafing	loaf
loaner	loan
loathsomeness	loath	loathe
lob	lob
lobation	lobate
lobbyist	lobby
locative	locate
localization	localise	localize
lockman	lock
locomotive	locomote
lodgement	lodge
loft	loft
logging	log
logrolling	logroll
loiterer	loiter
loll	loll
lengthening	long	lengthen
looking	look
loom	loom
looper	loop
looseness	loose
loosening	loosen
looting	loot
lope	lope
lordship	lord
losings	lose
lots	lot
lounger	lounge
lousiness	louse
lovely	love
lowness	low
lowering	lower
lubrication	lubricate
lucubration	lucubrate
luff	luff
luggage	lug
luging	luge
lull	lull
lumberman	lumber
luminescence	luminesce
lumper	lump
lunching	lunch
luncheon	luncheon
lunger	lunge
lurcher	lurch
lure	lure
lurker	lurk
lustfulness	lust
luster	luster
lustration	lustrate
lustre	lustre
lutanist	lute
luxation	luxate
luxuriousness	luxuriate
lynching	lynch
lyophilization	lyophilize
lyricality	lyric
lysis	lyse
macadamization	macadamise	macadamize
maceration	macerate
machicolation	machicolate
machination	machine	machinate
macrame	macrame
maculation	maculate
madness	bemadden
madder	madder
madrigal	madrigal
magnetization	magnetise	magnetize
magnification	magnify
mailing	mail
maiming	maim
mainline	mainline
maintenance	maintain
majority	major
making	make
maladministration	maladminister
malcontent	malcontent
malediction	maledict
malfunction	malfunction
maliciousness	malice
malignment	malign
malingering	malinger
mallard	mallard
mallet	mallet
mallow	mallow
maltman	malt
maltreatment	maltreat
mamaguy	mamaguy
manfulness	man
manacle	manacle
manageableness	manage
mandate	mandate
maneuvering	maneuver
mangle	mangle
manicurist	manicure
manifestation	manifest
manifold	manifold
manipulability	manipulate
manoeuvre	manoeuvre
mantle	mantle
manufacturing	manufacture
manumission	manumit
manure	manure
mapping	map
mars	mar
marauding	maraud
marbling	marble
marbleization	marbleize
marching	march
margination	marginate
marination	marinade	marinate
mark-up	mark-up
marking	mark
marketing	market
maroon	maroon
marriageability	marry
marshalship	marshal	marshaling
martyrization	martyr	martyrize
marvelment	marvel
masher	mash
masking	mask
masquerade	masquerade
masses	mass
massacre	massacre
massager	massage
mastership	master
mastermind	mastermind
mastication	masticate
masturbation	masturbate
matting	mat	matt
match	match
matchmaker	matchmake
mating	mate
materialization	materialize
matriculation	matriculate
matter	matter
matureness	mature	maturate
mauler	maul
maximization	maximise	maximize
mayor	may
mazement	maze
meanness	mean
meander	meander
measurability	measure
mechanization	mechanise	mechanize
meddlesomeness	meddle
mediatization	mediate	mediatize	mediatise
medication	medicate
medicine	medicine
meditativeness	meditate
meeting	meet
melanism	melanize
meld	meld
melioration	meliorate
mellowness	mellow
melodiousness	melodize
melting	melt
memorialization	memorise	memorize	memorialise	memorialize
menace	menace
mending	mend
menstruation	menstruate
mention	mention
meow	meow
mercerization	mercerise	mercerize
merchandisement	merchandise
mercurialization	mercurate	mercurialize	mercurialise
mergence	merge
meritoriousness	merit
meshing	mesh
mesmerization	mesmerise	mesmerize
mess	mess
metabolization	metabolize
metallization	metal	metallize
metamorphosis	metamorphose
metastasis	metastasize
meter	meter
methodization	methodise	methodize
methylation	methylate
metrication	metricize
mews	mew
miaou	miaou
miaow	miaow
microfilm	microfilm
microwave	microwave
micturition	micturate
middleman	middle
miff	miff
might	might
migration	migrate
mildew	mildew
militation	militate
militarization	militarise	militarize
milkman	milk
millions	mill
mimer	mime
mimeo	mimeo
mimeograph	mimeograph
mimickry	mimic	mimicker
mincer	mince
mindfulness	mind
minor	mine
mineralization	mineralise	mineralize
mingling	mingle
miniaturization	miniaturise	miniaturize
minification	minify
minimization	minimise	minimize
ministration	minister
minstrel	minstrel
mintage	mint
minuteness	minute
mire	mire
mirror	mirror
misapplication	misapply
misapprehension	misapprehend
misappropriation	misappropriate
misbehavior	misbehave
misbeliever	misbelieve
miscalculation	miscalculate
miscarriage	miscarry
miscegenation	miscegenate
misconception	misconceive
misconduction	misconduct
misconstrual	misconstrue
miscount	miscount
miscreation	miscreate
miscue	miscue
misdating	misdate
misdeal	misdeal
misdirection	misdirect
misdoing	misdo
misdoubt	misdoubt
misfile	misfile
misfire	misfire
misgiving	misgive
misgovernment	misgovern
misguidance	misguide
misinformation	misinform
misinterpretation	misinterpret
misjudgement	misjudge
mismanagement	mismanage
mismatch	mismatch
misplacement	misplace
misplay	misplay
misprint	misprint
misprision	misprise	misprize
mispronunciation	mispronounce
misquotation	misquote
misreading	misread
misreport	misreport
misrepresentation	misrepresent
misrule	misrule
missionary	miss
misspelling	misspell
misstatement	misstate
mister	mist
mistaking	mistake
mistiming	mistime
mistranslation	mistranslate
mistreatment	mistreat
mistrust	mistrust
misunderstanding	misunderstand
misuse	misuse
miter	miter
mitigation	mitigate
mixture	mix
mizzle	mizzle
moaner	moan
mob	mob
mobilization	mobilise	mobilize
mockery	mock
modelling	model
modem	modem
moderateness	moderate
modernization	modernise	modernize
modification	modify
modulation	modulate
moistness	moisturize
moistening	moisten
molding	mold
molestation	molest
mollification	mollify
mollycoddle	mollycoddle
molting	molt
monetization	monetise	monetize
monetarism	monetarize
monger	monger
mongrelization	mongrelise	mongrelize
monitoring	monitor
monkey	monkey
monogram	monogram
monolog	monolog
monologue	monologuize
monopolization	monopolise	monopolize
monument	monumentalize
moo	moo
moocher	mooch
moon	moon
moonlight	moonlight
moonshiner	moonshine
mooring	moor
mopping	mop
mopes	mope	moped
moralization	moralise	moralize
morning	morn
moroccan	moroccanize
morph	morph
mortar	mortar
mortgagor	mortgage
mortice	mortice
mortification	mortify
mortise	mortise
mothball	mothball
mother	mother
motion	motion
motivation	motive	motivate
motley	motley
motorization	motor	motorise	motorize
motorbike	motorbike
motorcycling	motorcycle
mottling	mottle
moulting	mould	moult
mound	mound
mounting	mount
mountaineering	mountaineer
mountebankery	mountebank
mournfulness	mourn
mousing	mouse
mousse	mousse
mouthful	mouth
movement	move
mower	mow
muck	muck
muckraking	muckrake
muddiness	mud	muddy
muddle	muddle
muff	muff
muffler	muffle
mugging	mug
mulch	mulch
mulcting	mulct
mullion	mull
multiplication	multiply
multiplexer	multiplex
multitasking	multitask
mum	mum
mumbling	mumble
mummification	mummify
munching	munch
municipalization	municipalise	municipalize
munitions	munition
murderousness	murder
murk	murk
murmuration	murmur
murther	murther
musculature	muscle
musing	muse
mushroom	mushroom
muss	muss
muster	muster
muteness	mute	mutate
mutilation	mutilate
mutineer	mutiny
muttering	mutter
mutualization	mutualise	mutualize
muzzle	muzzle
mystification	mystify
mythicization	mythicise	mythicize
mythologization	mythologise	mythologize
nag	nag
nail	nail
naming	name
nap	nap
narcotization	narcotise	narcotize
nark	nark
narrative	narrate
narrowness	narrow
nasalization	nasale	nasalise	nasalize
nationalization	nationalise	nationalize
natter	natter
naturalization	naturalise	naturalize
nauseation	nauseate
navigability	navigate
nearness	near
nebulization	nebulise	nebulize
necessitation	necessitate
necking	neck
necropsy	necropsy
necrosis	necrose
need	need
needle	needle
negation	negate
negativeness	negative
neglectfulness	neglect
negotiability	negotiate
neigh	neigh
neighbor	neighbor
neighbour	neighbour
nerves	nerve
nestor	nest
nestling	nestle
netting	net
nettle	nettle
network	network
neutering	neuter
neutralization	neutralise	neutralize
nibbling	nibble
nick	nick
nickel	nickel
nickname	nickname
nictitation	nictate	nictitate
nidification	nidify	nidificate
niello	niello
nip	nip
nitration	nitrate
nitrification	nitrify
nitrogenization	nitrogenize
nix	nix
nod	nod
noisiness	noise
nominative	nominate
nonplus	nonplus
nonsuit	nonsuit
noose	noose
normalization	normalise	normalize
normanization	normanise	normanize
nosiness	nose
nosh	nosh
notarization	notarize
notch	notch
notation	note	notate
noticeableness	notice
notification	notify
nourishment	nourish
novelization	novelize
nuance	nuance
nucleation	nucleate
nudge	nudge
nuke	nuke
nullification	nullify
numbness	numb
numbering	number
numerousness	numerate
nursing	nurse
nurturing	nurture
nutation	nut	nutate
oar	oar
obelization	obelize
obedience	obey
obfucscation	obfuscate
objectionableness	object
objectification	objectify
objurgation	objurgate
obligation	oblige	obligate
obliteration	obliterate
obscureness	obscure
obsecration	obsecrate
observatory	observe
obsessiveness	obsess
obsolescence	obsolesce
obstruction	obstruct
obtainment	obtain
obtestation	obtest
obtrusiveness	obtrude
obturation	obturate
obversion	obvert
obviation	obviate
occasionment	occasion
occidentalization	occidentalise	occidentalize
occlusive	occlude
occultation	occult
occupation	occupy
occurence	occur
odor	odorize
offing	of
offensiveness	offend
offering	offer
officiousness	officer	officiate	officialize
offset	offset
ogler	ogle
oilman	oil
ok	ok
okay	okay
omen	omen
omission	omit
omnibus	omnibus
omnipresence	omnipresent
oozing	ooze
opalescence	opalesce
optative	ope	opt
openness	open
operability	operate
opinion	opine
oppilation	oppilate
oppositeness	oppose
oppressiveness	oppress
opsonification	opsonize
optimization	optimise	optimize
oration	orate
orb	orb
orbit	orbit
orchestration	orchestrate
ordination	ordain
ordering	order
organization	organize
organisation	organise
orientalization	orient	orientate	orientalise	orientalize
origination	originate
ornamentation	ornament
orphanage	orphan
oscillation	oscillate
osculation	osculate
osmosis	osmose
ossification	ossify
ostracization	ostracize
ousting	oust
outing	out
outbalance	outbalance
outbreeding	outbreed
outcropping	outcrop
outcross	outcross
outcry	outcry
outfitting	outfit
outgo	outgo
outgrowth	outgrow
outlaw	outlaw
outlay	outlay
outline	outline
outpouring	outpour
output	output
outrageousness	outrage
outreach	outreach
outrider	outride
outshoot	outshoot
outspan	outspan
outspread	outspread
outwardness	outward
overactivity	overact
overawe	overawe
overbid	overbid
overbook	overbook
overburden	overburden
overcall	overcall
overcapitalization	overcapitalise	overcapitalize
overcasting	overcast
overcharge	overcharge
overclothes	overclothe
overcompensation	overcompensate
overdevelopment	overdevelop
overdraft	overdraw
overdrive	overdrive
overestimation	overestimate
overexertion	overexert
overexposure	overexpose
overflowing	overflow
overgrowth	overgrow
overhang	overhang
overhauling	overhaul
overhead	overhead
overindulgence	overindulge
overjoy	overjoy
overlapping	overlap
overlayer	overlay
overload	overload
overlook	overlook
overnighter	overnight
overpayment	overpay
overprint	overprint
overprotection	overprotect
overrating	overrate
override	override
overrun	overrun
overseer	oversee
overshoot	overshoot
oversimplification	oversimplify
overstatement	overstate
overstrain	overstrain
oversubscription	oversubscribe
oversupply	oversupply
overtaking	overtake
overthrow	overthrow
overturning	overturn
overuse	overuse
overvaluation	overvalue
overweight	overweight
overworking	overwork
oviposition	oviposit
ovulation	ovulate
owner	own
oxidization	oxidate	oxidise	oxidize
oxygenation	oxygenate	oxygenize
oyster	oyster
ozonization	ozonise	ozonize
pacing	pace
pacification	pacify
packaging	pack	package
padding	pad
paddler	paddle
padlock	padlock
paganization	paganise	paganize
pagination	page	paginate
painfulness	pain
painting	paint
pairing	pair
pal	pal
palatalization	palatalise	palatalize
palaver	palaver
paleness	pale
palisade	palisade
pallor	pall
palliation	palliate
palmist	palm
palpation	palpate
palpitation	palpitate
palsy	palsy
paltering	palter
pampering	pamper
panful	pan
pancake	pancake
panderer	pander
panelling	panel
panhandler	panhandle
panic	panic
panting	pant
pantomimer	pantomime
pantry	pantry
papering	paper
par	par
parabolization	parabolize	parabolise
parachutist	parachute
parader	parade	paradize
paragrapher	paragraph
parallelism	parallel	parallelize
paralyzation	paralyse	paralyze
parapet	parapet
paraphrase	paraphrase
parasitization	parasitize
parcelling	parcel
parchment	parch
pardoner	pardon
parentage	pare	parent
parenthesization	parenthesize
pargeting	parget
parking	park
parlay	parlay
parley	parley
parodist	parody
parolee	parole
parquet	parquet
parrot	parrot
parry	parry
parsee	parse
partitioning	part	partition
partaker	partake
party	party
participation	participate
particularization	particularise	particularize
partnership	partner
passionateness	pass
passage	passages
pastorate	paste
pasteurization	pasteurize
pasteurisation	pasteurise
pasture	pasture
patness	pat
patching	patch
patentee	patent
patrolling	patrol
patronization	patronage	patronise	patronize
patter	patter
pattern	pattern
pauperization	pauper	pauperize
pause	pause
pavement	pave
pavilion	pavilion
paw	paw
pawning	pawn
payment	pay
peach	peach
peak	peak
pealing	peal
pearlite	pearl
pecker	peck
pectization	pectise	pectize
peculation	peculate
pedaller	pedal
peddling	peddle
pedicure	pedicure
peeing	pee
peek	peek
peeler	peel
peeper	peep
peer	peer
peeve	peeve
peg	peg
pelting	pelt
penning	pen	penance
penalization	penalise	penalize
pencil	pencil
penetrability	penetrate
penny-pinching	penny-pinch
pensioner	pension
people	people
pep	pep
pepper	pepper
peptization	peptise	peptize
peptonization	peptonise	peptonize
perambulation	perambulate
perceptiveness	perceive
perch	perch
percolation	percolate
percussion	percuss
peregrination	peregrinate
perennation	perennate
perfectibility	perfect
perforation	perforate
performance	perform
perfumery	perfume
perfusion	perfuse
perilousness	peril
perishables	perish
perjurer	perjure
perk	perk
perlocutionary	perm
permeableness	permeate
permissiveness	permit
permutableness	permute
peroration	perorate
peroxide	peroxide
perpetration	perpetrate
perpetuation	perpetuate
perplexity	perplex
persecution	persecute
perseveration	persevere
persistency	persist
personalization	personate	personalise	personalize
personification	personify
perspiration	perspire
persuasiveness	persuade
pertinacity	pertain
perturbation	perturb	perturbate
perusing	peruse
pervasiveness	pervade
perverseness	pervert
pesterer	pester
pestle	pestle
petting	pet
peter	peter
petitioner	petition
petrification	petrify
phase	phase
philosophization	philosophise	philosophize
phlebotomization	phlebotomize
phonation	phonate
phoner	phone
phosphatization	phosphatise	phosphatize
phosphorescence	phosphoresce
photo	photo
photocomposition	photocompose
photocopier	photocopy
photographer	photograph
photosensitization	photosensitise	photosensitize
photostat	photostat
photosynthesis	photosynthesize
phrasing	phrase
physicalness	physic
picking	pick
picket	picket
pickle	pickle
picnicker	picnic
picturing	picture
piddle	piddle
piece	piece
pierce	pierce
piffle	piffle
pigmentation	pig	pigment
pigeonholing	pigeonhole
pike	pike
piling	pile
pilferage	pilfer
pilgrimage	pilgrimage
pillaging	pillage
pillory	pillory
pillow	pillow
piloting	pilot
pimp	pimp
pinning	pin
pinche	pinch
pining	pine
ping	ping
pinion	pinion
pink	pink
pinnacle	pinnacle
pinpoint	pinpoint
pioneer	pioneer
pip	pip
pipeful	pipe
piquancy	pique
pirate	pirate
pirouette	pirouette
pissing	piss
pitting	pit
pitcherful	pitch
pitchfork	pitchfork
pith	pith
pitter-patter	pitter-patter
pity	pity
pivot	pivot
placard	placard
placation	placate
place-kicking	place-kick
placement	place
plagiarization	plagiarise	plagiarize
plague	plague
plainness	plain
plait	plait
planning	plan
planeness	plane
planking	plank
plantation	plant
plash	plash
plasmolysis	plasmolyze
plastering	plaster
plasticization	plasticise	plasticize
plateful	plate
platinization	platinise	platinize
platitudinization	platitudinize
playing	play
playaction	playact
playback	playback
pleading	plead
pleasantness	please	pleasure
pleating	pleat
pledge	pledge
plenishment	plenish
plight	plight
plodding	plod
plodge	plodge
plonk	plonk
plop	plop
plot	plot
ploughman	plough
plowing	plow
pluck	pluck
plug	plug
plumbism	plumb
plumage	plume
plummet	plummet
plumpness	plump
plundering	plunder
plunger	plunge
plunk	plunk
pluralization	pluralise	pluralize
pliantness	ply
poaching	poach
pock	pock
pocketful	pocket
pockmark	pockmark
pod	pod
podzolization	podzolize
poeticization	poeticize
poetization	poetize
pointing	point
poise	poise
poisoning	poison
poking	poke
polarization	pole	polarise	polarize
poleaxe	poleax	poleaxe
polemic	polemize
policeman	police
polishing	polish
politicization	politicize
polka	polka
polls	poll
pollard	pollard
pollination	pollenate	pollinate
pollution	pollute
polymerization	polymerise	polymerize
polytick	polytick
pomade	pomade
pommel	pommel
pompadour	pompadour
ponderousness	ponder
pongee	pong
poniard	poniard
pontification	pontificate
pooch	pooch
pool	pool
popping	pop
popularization	popularise	popularize
population	populate
porosity	pore
portion	port	portion	portend
portage	portage
portraying	portray
positiveness	pose	posit	position
possessiveness	possess
posterity	post	poster
postage	postage
postfix	postfix
postmark	postmark
postmaster	postmaster
postponement	postpone
postscript	postscript
postulation	postulate
posturing	posture
potation	pot
potentiation	potentiate
pother	pother
potterer	potter
pouch	pouch
poultice	poultice
pounce	pounce
pounding	pound
pouring	pour
pout	pout
powder	powder	powderize
powerfulness	power
powwow	powwow
practicableness	practice	practise
prayer	pray
praise	praise
prancer	prance
prank	prank
prate	prate
prattler	prattle
prawn	prawn
preachment	preach
preachification	preachify
preamble	preamble
prearrangement	prearrange
precancellation	precancel
precaution	precaution
precedency	precede
precession	precess
precipitousness	precipitate
preciseness	precis
preclusion	preclude
preconception	preconceive
precondition	precondition
preconization	preconise	preconize
predecease	predecease
predestination	predestine	predestinate
predetermination	predetermine
predication	predicate
predictability	predict
predigestion	predigest
predisposition	predispose
predomination	predominate
preemption	preempt
preexistence	preexist
prefabrication	prefabricate
preface	preface
preferability	prefer
prefigurement	prefigure
prefixture	prefix
prejudgement	prejudge
prejudice	prejudice
prelection	prelect
prelusion	prelude
premeditation	premeditate
premiership	premier	premiere
premises	premise
premiss	premiss
premonition	premonish
preoccupation	preoccupy
preordination	preordain
preparative	prepare
prepayment	prepay
